Respondents,European,Canadian,Japanese,X6.19,X5.49,X4.79,Rich.full.bodied,Regular,Crisp.and.clear,Strong,Mild,Very.mild,Full,Regular.1,Low,Six.12Oz.Large,Six.12Oz.Small,Four.16Oz,Green.Label,Brown.Label,Brown.Painted,Respondents,Weekly_Consumption,Age_1_7,Income_1_7,Education_1_6,Sex_M_1_F_2,clusters,classes
73,16,1,0,13,12,0,4,0,5,0,11,7,0,0,27,24,0,9,3,4,0,73,12,4,2,3,1,1,1
5832,26,0,16,0,2,0,7,0,13,0,23,13,16,0,14,18,0,6,2,1,0,5832,2,4,1,2,2,1,1
7172,10,0,16,12,0,9,9,0,13,0,24,0,25,1,0,7,0,1,3,3,0,7172,6,6,7,5,1,1,1
5803,17,0,8,1,7,0,10,0,15,0,23,9,12,0,7,18,0,2,0,7,9,5803,6,4,7,6,1,1,1
4382,21,0,8,4,10,0,14,0,13,0,17,2,18,0,12,14,0,7,0,4,5,4382,24,6,4,3,1,1,1
7388,12,0,7,0,6,2,10,0,16,0,16,20,30,0,13,5,0,2,11,0,3,7388,3,3,7,5,1,1,1
5794,17,3,0,10,7,0,1,0,13,0,15,6,13,0,30,11,0,12,1,3,0,5794,4,4,4,3,1,1,1
3011,24,5,0,0,2,5,18,0,12,0,12,3,13,0,19,19,0,5,0,4,1,3011,6,5,6,5,1,1,1
4908,0,0,2,12,9,0,18,0,1,12,14,0,0,7,1,29,0,23,5,0,17,4908,6,2,3,5,1,2,2
6291,8,0,16,3,1,0,16,7,0,12,21,0,18,0,6,12,0,12,12,5,0,6291,4,7,7,6,1,1,1
6148,24,0,18,0,0,1,8,0,9,0,28,12,24,0,0,10,1,0,2,4,0,6148,1,2,6,3,1,1,1
2932,0,9,7,0,19,26,14,0,7,11,19,0,1,10,0,5,0,13,8,0,10,2932,5,6,3,3,2,2,2
5786,11,0,1,0,6,6,37,0,18,0,16,5,10,0,12,11,0,4,0,6,7,5786,12,5,7,5,1,1,1
7128,17,0,29,14,1,0,10,0,7,15,22,0,0,16,9,6,0,2,0,3,2,7128,6,5,5,4,1,1,1
997,19,0,13,11,3,0,18,0,21,0,17,3,10,0,19,12,0,5,1,2,0,997,16,6,7,3,1,1,1
984,16,0,10,2,0,3,24,0,10,0,17,6,22,0,0,7,0,9,0,3,9,984,2,4,7,5,1,1,1
6702,25,0,15,0,1,12,0,1,10,0,17,11,18,0,1,12,5,0,3,5,0,6702,6,4,6,6,1,1,1
3974,16,0,13,3,0,7,17,0,7,0,19,8,25,0,10,13,0,9,3,2,0,3974,10,5,4,2,1,1,1
3970,4,0,4,11,0,6,0,4,15,0,26,2,0,3,25,2,0,13,2,6,0,3970,10,4,7,5,1,1,1
5633,0,5,19,0,16,26,14,13,0,0,2,9,0,22,10,0,1,2,7,1,0,5633,4,6,7,6,1,2,2
7180,30,23,0,15,0,23,5,0,10,1,0,2,0,10,0,12,10,0,14,0,1,7180,6,3,3,3,1,2,2
4196,25,0,5,7,10,0,6,0,11,0,1,2,0,14,23,11,0,0,0,18,13,4196,12,3,6,3,2,3,3
5619,1,0,11,0,6,4,40,2,0,4,0,2,15,0,1,14,0,14,0,1,9,5619,3,6,7,6,1,1,1
7500,2,0,1,11,3,0,9,0,9,0,6,11,9,0,27,35,0,9,5,2,0,7500,2,2,7,3,2,1,1
6071,18,9,0,19,14,0,1,0,6,0,21,4,4,0,6,24,0,14,6,0,3,6071,2,4,7,6,2,1,1
2319,0,11,10,5,0,0,0,16,7,22,0,10,0,8,13,7,0,17,16,0,8,2319,12,4,5,3,1,2,2
5456,4,0,6,9,0,6,0,7,8,29,22,0,10,4,0,13,16,0,22,17,0,5456,4,6,7,3,1,2,2
